Title,Company,Salary_monthly,Rating,Summary,Days_since_posted,Salary_disclosed,Min_salary,Max_salary,Avg_salary,Rated,Title_len,Repost
Data Scientist,AirAsia,-1,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",31,0,0,0,0,1,14,16
Geomatics Surveyor (Geographic Information System),AkiraKan (Marine Technology) Sdn Bhd, 3500 ,-1.0,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",31,1,3500,3500,3500,0,50,4
Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd, 3500 ,-1.0,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",31,1,3500,3500,3500,0,44,22
Geomatics Surveyor (Geographic Information System),AkiraKan Limited, 15000 ,-1.0,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",9,1,15000,15000,15000,0,50,4
Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited, 15000 ,-1.0,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9,1,15000,15000,15000,0,48,22
Meteorologist/ Meteorological Data Scientist,AkiraKan Limited, 15000 ,-1.0,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9,1,15000,15000,15000,0,44,22
Meteorology & AI Researcher/ Atmospheric & Marine Data Analyst,AkiraKan Limited, 15000 ,-1.0,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9,1,15000,15000,15000,0,62,4
Data Scientist,BASF Asia Pacific,-1,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,31,0,0,0,0,1,14,20
Junior Data Scientist - Risk Intelligence,Hays,-1,-1.0,"You will contribute to data management programs to ensure the reliability of data across the bank.Solid technical skill of Python, R or C/C++ and data…",31,0,0,0,0,0,41,4
Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,-1,-1.0,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",31,0,0,0,0,0,29,22
Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm, 6000 -  10000 ,-1.0,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25,1,6000,10000,8000,0,57,18
Graduate Environmental Scientist,Jacobs,-1,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16,0,0,0,0,1,32,20
Sr/Data Scientist,Nexperia Germany GmbH,-1,-1.0,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",31,0,0,0,0,0,17,18
Data Scientist,Pulsifi, 8000 -  10000 ,-1.0,Working closely with the client facing team and providing data analysis service and consultation regarding data science issues such as experimental design and…,31,1,8000,10000,9000,0,14,4
Data Scientist,RPS Group,-1,-1.0,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10,0,0,0,0,0,14,16
Data Scientist,Telenor,-1,-1.0,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,31,0,0,0,0,0,14,16
Data Scientist - Data Cycling Center,TikTok,-1,-1.0,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16,0,0,0,0,0,36,22
