,title,company,salary,rating,summary,post_date
0,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
1,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
2,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
3,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
4,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
5,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
6,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
7,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
8,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
9,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
10,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
11,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
12,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
13,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
14,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
15,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
16,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
17,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
18,Meteorology & AI Researcher/ Atmospheric & Marine Data Analyst,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
